trip_id,city,distance_km,duration_minutes,traffic_level,demand_factor,battery_health_percent,energy_consumption_kwh,route_difficulty,vehicle_type,time_of_day,day_of_week,weather_condition,temperature_celsius,humidity_percent,driver_rating,surge_multiplier,historical_pricing_factor,is_holiday,charging_stations_nearby,user_type,fare_amount_inr
EV000433,Bangalore,20.85,52.1,83,1.5106,77,6.98,4,Premium,Evening_Peak,Tuesday,Rainy,16,62,3.5,1,1.08,0,2,Premium,757.98
EV000434,Mumbai,17.13,52.6,60,1.274,100,5.02,6,SUV,Morning_Peak,Wednesday,Clear,36,59,3.9,1,1.07,0,10,Premium,517.16
EV000435,Pune,48.48,215.9,84,2.457,97,5.95,6,Premium,Morning_Peak,Wednesday,Clear,35,43,4.9,1.75,1,0,8,Regular,5757.59
EV000436,Delhi,43.21,189.3,86,2.3920000000000003,77,5.72,10,SUV,Evening_Peak,Monday,Clear,39,79,4.6,1.74,0.98,0,8,Regular,3059.87
EV000437,Delhi,39.69,99.9,80,2.7481999999999998,94,5.15,5,SUV,Evening_Peak,Wednesday,Rainy,24,40,4.2,2.15,1.01,0,2,Premium,5199.24
EV000438,Delhi,39.4,149.6,76,3.1239000000000003,89,6.86,1,Compact,Morning_Peak,Saturday,Foggy,16,31,4.5,2.07,0.91,0,7,Premium,3148.48
EV000439,Pune,2.42,5.3,60,3.094,89,6.55,9,Premium,Morning_Peak,Monday,Hot,37,77,4,1.78,0.93,0,9,Premium,278.92
EV000440,Mumbai,13.79,46.1,23,4.102,70,4.89,5,SUV,Early_Morning,Wednesday,Rainy,35,51,4.2,1.71,0.98,0,3,Regular,1199.69
EV000441,Pune,3.3,8.3,95,1.593,93,8.31,6,Sedan,Early_Morning,Sunday,Hot,29,55,4.1,1,0.91,1,9,Premium,71.84
EV000442,Pune,46.51,226.5,31,2.576,82,6.27,9,Sedan,Early_Morning,Wednesday,Rainy,39,62,4.7,2.12,0.93,0,10,Regular,2622.64
EV000443,Pune,12,44.9,77,2.8139999999999996,87,6.91,7,Sedan,Early_Morning,Tuesday,Rainy,29,67,4.1,2.08,1.01,0,10,Regular,854.51
EV000444,Pune,34.66,121.7,18,2.506,96,6.19,9,Compact,Night,Thursday,Rainy,26,49,4.3,1.57,0.9,0,4,Premium,1726.28
EV000445,Chennai,35.22,175.1,20,1.6560000000000001,81,3.37,9,SUV,Day_Time,Saturday,Foggy,33,31,4.3,1,1,0,2,Regular,637.72
EV000446,Delhi,5.83,26.7,67,3.3409999999999997,85,5.61,9,Premium,Morning_Peak,Friday,Clear,29,38,4,1.66,1.06,0,8,Premium,837.81
EV000447,Mumbai,24.71,99,33,2.772,83,3.7,1,SUV,Early_Morning,Monday,Rainy,33,94,4.4,2.02,0.92,0,2,Regular,1975.51
EV000448,Mumbai,23.31,92.1,99,2.8600000000000003,79,6.84,8,Sedan,Morning_Peak,Wednesday,Hot,27,77,4.6,1.8,1.02,0,1,Regular,2292.02
EV000449,Bangalore,27.64,126.9,60,3.4579999999999993,73,6.71,1,Sedan,Morning_Peak,Wednesday,Storm,28,34,3.9,2.22,0.97,0,3,Regular,2726.97
EV000450,Pune,6.55,14.7,60,4.5864,80,5.43,10,Premium,Morning_Peak,Wednesday,Storm,38,44,4.2,2,0.96,0,2,Regular,1384.11
EV000451,Mumbai,19.03,45.7,26,0.96,78,5.03,2,Premium,Day_Time,Wednesday,Hot,30,92,4.4,1,0.95,0,2,Regular,346.31
EV000452,Delhi,34.86,113.4,76,4.9685999999999995,71,8.58,7,Compact,Morning_Peak,Monday,Storm,24,84,4.8,2,0.99,0,6,Regular,4607.74
EV000453,Delhi,25.55,113.8,85,4.2042,70,4.65,3,SUV,Morning_Peak,Monday,Storm,38,76,4.2,2,0.95,0,4,Regular,3632.19
EV000454,Mumbai,28.92,90.5,84,0.7,90,6.07,9,SUV,Night,Thursday,Clear,26,43,4.7,1,1.06,0,5,Premium,736.96
EV000455,Chennai,26.67,102.9,60,2.847,98,6.29,3,Sedan,Morning_Peak,Friday,Clear,22,32,3.6,2.06,0.95,0,2,Regular,1343.99
EV000456,Delhi,22.05,80.3,28,3.5839999999999996,92,3.76,7,SUV,Early_Morning,Friday,Rainy,33,53,4.8,1.81,0.95,1,1,Premium,3066.74
EV000457,Bangalore,27.02,99.1,76,2.83,97,7.99,6,Compact,Day_Time,Thursday,Foggy,21,99,4.7,1.76,1.08,0,2,Premium,2715.27
EV000458,Bangalore,47.82,192.8,13,0.846,71,5.54,5,Premium,Day_Time,Sunday,Hot,33,75,4.6,1,1.08,0,4,Premium,812.81
EV000459,Delhi,30.1,145.5,38,2.29,100,4.17,1,Premium,Day_Time,Monday,Foggy,19,77,4.2,2.21,0.95,0,2,Premium,3245.6
EV000460,Bangalore,18.61,86.1,93,1.8017999999999998,70,5.94,2,Premium,Evening_Peak,Thursday,Storm,23,68,4.6,2,0.93,0,5,Regular,1796.92
EV000461,Mumbai,43.16,109,0,3.1919999999999997,78,4.31,6,SUV,Day_Time,Monday,Storm,35,46,3.8,2,0.97,0,4,Premium,4495.38
EV000462,Chennai,44.73,122.3,5,1.29,100,6.6,9,Sedan,Early_Morning,Monday,Clear,17,93,4.7,1,0.91,0,2,Regular,528.69
EV000463,Delhi,13.81,49,72,2.366,90,8.74,1,Compact,Morning_Peak,Monday,Hot,28,97,4.6,1.79,0.95,0,3,Regular,674.1
EV000464,Mumbai,5.18,14.4,15,1.125,70,5.73,9,Sedan,Early_Morning,Sunday,Clear,32,62,4.1,1,1.1,0,4,Premium,67.29
EV000465,Delhi,26.47,131,70,1.8199999999999998,70,7.35,9,Sedan,Night,Friday,Storm,30,41,4.2,2,1.02,0,6,Regular,1655.69
EV000466,Chennai,11.67,48.9,65,4.8594,70,5.58,3,Premium,Evening_Peak,Friday,Storm,27,39,5,2,1.08,1,5,Premium,3199.11
EV000467,Delhi,19.17,65.5,60,4.167800000000001,76,6.92,7,Compact,Evening_Peak,Wednesday,Storm,32,86,3.8,2.21,1.08,0,6,Regular,2221.92
EV000468,Mumbai,23.91,100.3,39,1.8479999999999999,83,5.67,9,Premium,Day_Time,Friday,Rainy,36,61,4,1,0.99,0,7,Premium,1194.19
EV000469,Mumbai,12.45,55.8,25,2.538,89,6.87,10,Compact,Early_Morning,Saturday,Clear,33,54,5,1.95,1.1,0,4,Regular,877.23
EV000470,Chennai,28.99,117.3,60,2.275,80,7.32,4,Sedan,Morning_Peak,Tuesday,Storm,16,78,4.8,2,1.07,1,2,Regular,2283.32
EV000471,Mumbai,38.72,86.5,18,1.46,74,7.8,9,Compact,Day_Time,Wednesday,Hot,32,86,4.3,1,0.96,0,9,Premium,583.01
EV000472,Chennai,28.48,109.7,60,2.3400000000000003,98,8.38,10,Compact,Morning_Peak,Sunday,Hot,18,89,4,2.3,0.95,0,1,Regular,1473.03
EV000473,Delhi,31.31,65.9,34,4.074,89,5.26,2,Premium,Day_Time,Tuesday,Storm,21,95,4.5,2,0.99,0,10,Regular,6613.26
EV000474,Delhi,26.37,116,79,1.722,82,6.26,2,Premium,Day_Time,Monday,Storm,22,42,5,2,0.99,0,9,Premium,2977.83
EV000475,Chennai,33.12,97,99,0.6120000000000001,95,7.81,10,Compact,Night,Sunday,Foggy,25,65,4.9,1,1.05,1,7,Premium,452.85
EV000476,Pune,24.59,107.5,60,1.2940200000000002,71,7.3,1,Compact,Morning_Peak,Saturday,Storm,15,98,3.8,2,0.99,0,6,Premium,587.23
EV000477,Pune,2.61,11,60,0.8190000000000001,96,5.63,10,Compact,Evening_Peak,Monday,Foggy,33,39,3.9,1,1.05,0,2,Regular,25.13
EV000478,Bangalore,24.99,54.6,60,2.5389000000000004,89,7.88,2,Compact,Morning_Peak,Saturday,Hot,20,76,3.8,1.86,1,0,1,Regular,1245.55
EV000479,Mumbai,46.54,174.6,60,3.5544599999999997,89,6.22,3,Sedan,Evening_Peak,Sunday,Storm,31,85,4.9,2,0.91,0,9,Premium,7122.47
EV000480,Delhi,49.09,241.7,93,1.176,98,8.25,6,Sedan,Early_Morning,Wednesday,Storm,36,62,4.8,2,1.08,0,1,Regular,2820.82
EV000481,Pune,40.71,173.5,60,2.1839999999999997,97,6.25,7,Compact,Morning_Peak,Wednesday,Rainy,24,39,4.5,2.23,0.92,0,7,Premium,2467.09
EV000482,Mumbai,39.25,128.9,74,1.8199999999999998,83,7.78,4,Sedan,Day_Time,Monday,Rainy,29,67,3.6,1,0.97,0,5,Premium,1063.91
EV000483,Bangalore,10.31,26.8,61,3.8001599999999995,78,7.48,6,Sedan,Evening_Peak,Saturday,Storm,26,77,4.4,2.43,1,0,10,Premium,1837.39
EV000484,Bangalore,17.06,80.8,60,1.0737999999999999,78,4.65,6,SUV,Morning_Peak,Friday,Storm,36,45,4.4,2,1.04,0,3,Regular,812.4
EV000485,Mumbai,10.55,31.8,20,0.909,70,5.76,3,Premium,Early_Morning,Sunday,Clear,17,99,3.6,1,1.06,0,10,Premium,144.56
EV000486,Bangalore,26.69,58.1,24,2.86,90,8.29,7,Compact,Night,Thursday,Hot,24,65,4.8,2,0.91,0,1,Regular,2151.33
EV000487,Mumbai,3.83,15,68,1.38,84,4.71,7,Premium,Early_Morning,Friday,Foggy,15,45,3.6,1,1.02,0,5,Regular,109.43
EV000488,Chennai,13.25,65.6,69,1.0413000000000001,72,5.24,9,SUV,Morning_Peak,Sunday,Hot,21,69,3.7,1,1.02,0,6,Regular,148.8
EV000489,Delhi,11.77,47.7,83,1.88,77,6.77,9,Compact,Early_Morning,Friday,Foggy,38,50,4.3,1,1.01,1,6,Regular,262.52
EV000490,Delhi,21.85,103.2,79,1.7369999999999999,88,4.43,3,SUV,Day_Time,Saturday,Clear,27,43,3.8,1,0.92,1,8,Premium,631.16
EV000491,Mumbai,21.97,50.8,81,2.196,86,4.86,10,SUV,Night,Saturday,Clear,19,46,3.9,1.7,0.94,0,4,Premium,2103.57
EV000492,Pune,44.3,154.9,67,2.9862,82,6.37,10,Compact,Early_Morning,Sunday,Storm,15,63,5,2.41,1.1,0,7,Premium,5243.78
EV000493,Chennai,4.22,15.9,81,1.01,100,7.03,2,Sedan,Day_Time,Monday,Foggy,28,52,3.9,1,1.02,0,5,Regular,50.63
EV000494,Delhi,12.23,50.8,73,1.7471999999999999,80,4.5,1,SUV,Morning_Peak,Friday,Rainy,25,95,4,1,0.92,0,7,Premium,333
EV000495,Pune,35.86,73.6,59,2.86,86,6.13,8,Premium,Early_Morning,Friday,Hot,27,52,4.1,2.05,0.98,0,5,Premium,4011.15
EV000496,Mumbai,42.53,90,60,4.1495999999999995,79,5.63,1,Sedan,Morning_Peak,Thursday,Rainy,39,40,4,2.03,0.96,0,10,Premium,4804.62
EV000497,Chennai,2.1,6,3,2.33,97,5.95,6,Sedan,Day_Time,Friday,Foggy,18,87,4.9,1.54,1.04,0,4,Premium,93.95
EV000498,Bangalore,36.46,94.6,14,0.66,90,4.06,3,SUV,Night,Tuesday,Clear,28,53,4.8,1,1.02,0,6,Regular,492.85
EV000499,Mumbai,19.2,87.2,94,1.3267800000000003,82,7.43,2,Sedan,Morning_Peak,Sunday,Rainy,22,65,4.3,1,1.08,0,3,Premium,526.07
EV000500,Mumbai,50.18,164.9,74,1.008,84,6.46,2,Sedan,Early_Morning,Monday,Rainy,16,65,3.9,1,1,1,4,Regular,774.59
EV000501,Bangalore,17.34,52.9,60,1.5444000000000002,71,8.07,6,Compact,Morning_Peak,Sunday,Hot,19,45,5,1,0.93,0,7,Regular,299.78
EV000502,Delhi,43.83,162.4,92,1.215,71,3.86,1,SUV,Day_Time,Saturday,Clear,27,37,4.4,1,1.02,0,3,Regular,742.96
EV000503,Bangalore,23.45,69.7,35,1.302,81,6.29,8,Compact,Day_Time,Monday,Rainy,36,45,4.3,1,0.95,0,4,Regular,346.72
EV000504,Pune,17.59,56.3,55,1.46,77,5.06,10,Sedan,Day_Time,Wednesday,Foggy,18,85,3.5,1,0.96,0,4,Regular,236.16
EV000505,Chennai,16.5,63,26,0.9,100,4.14,10,Premium,Night,Friday,Foggy,25,47,4.3,1,1.03,0,6,Regular,356.25
EV000506,Pune,25.09,69.8,77,0.648,76,3.85,10,SUV,Early_Morning,Sunday,Foggy,38,95,4.8,1,1.06,0,4,Premium,303.12
EV000507,Pune,46.92,111.6,13,1.01,71,6.24,1,Compact,Early_Morning,Thursday,Clear,19,98,4.2,1,0.98,0,10,Regular,241.22
EV000508,Chennai,6.24,17.7,96,0.962,72,7.07,7,Compact,Evening_Peak,Friday,Foggy,24,76,3.7,1,0.91,0,10,Premium,43.4
EV000509,Mumbai,42.53,106.6,21,1.503,72,6.73,2,Compact,Night,Saturday,Foggy,29,54,4.3,1,0.9,0,5,Premium,703.03
EV000510,Delhi,10.58,44,60,2.8,81,7.37,9,Sedan,Early_Morning,Friday,Hot,26,62,3.6,2.25,1.08,0,1,Premium,809.57
EV000511,Bangalore,17.79,68.5,60,4.641,88,5.4,8,Sedan,Morning_Peak,Thursday,Storm,38,66,4.1,2,0.95,0,10,Premium,3216.66
EV000512,Bangalore,34.26,83.3,56,2.52,70,8.42,10,Compact,Day_Time,Tuesday,Hot,26,68,4.2,1.75,1,0,4,Regular,1562.5
EV000513,Chennai,43.53,109.5,75,1.36,79,6.96,4,Premium,Early_Morning,Friday,Foggy,24,94,3.8,1,0.98,0,7,Regular,794.64
EV000514,Bangalore,8.8,38.6,60,1.625,81,5.65,1,Premium,Morning_Peak,Thursday,Hot,28,56,4.6,1,1.09,0,10,Regular,357.5
EV000515,Bangalore,11.68,44.7,19,0.45,86,5.83,7,Sedan,Day_Time,Sunday,Clear,20,88,3.9,1,0.93,0,4,Premium,59.89
EV000516,Bangalore,33.79,153.9,51,0.86,91,7.35,7,Compact,Early_Morning,Wednesday,Foggy,20,98,3.6,1,0.94,0,5,Premium,282.01
EV000517,Bangalore,28.18,59.6,33,0.78,87,5.02,2,Sedan,Early_Morning,Wednesday,Clear,19,53,5,1,1,1,1,Regular,312.74
EV000518,Bangalore,33,105.8,87,2.492,79,8.3,2,Compact,Night,Friday,Rainy,22,42,3.9,1.74,1.08,0,4,Premium,2199.94
EV000519,Bangalore,50.47,110,94,2.044,84,5.93,6,Premium,Day_Time,Friday,Storm,32,88,4.1,2.31,0.95,0,4,Regular,7516.26
EV000520,Delhi,28.05,74.8,66,2.06,79,5.28,3,SUV,Night,Tuesday,Hot,21,50,4.7,2.24,1.08,0,7,Regular,2745.48
EV000521,Bangalore,9.02,35.1,26,0.92,90,4.35,6,Premium,Night,Tuesday,Foggy,33,48,3.8,1,0.91,1,10,Premium,229.33
EV000522,Mumbai,30.25,77.5,55,1.33,94,5.36,6,Sedan,Early_Morning,Monday,Foggy,39,60,4,1,0.97,0,9,Premium,625.94
EV000523,Bangalore,8.69,39.6,60,2.0592,85,7.45,5,Compact,Morning_Peak,Saturday,Hot,32,33,4.2,2.15,0.92,0,7,Regular,407.07
EV000524,Pune,28.22,133.8,60,1.0010000000000001,98,3.48,1,SUV,Morning_Peak,Friday,Foggy,38,72,5,1,0.98,0,5,Premium,560.84
EV000525,Chennai,36.72,120.9,60,1.2921999999999998,73,4.46,5,Premium,Morning_Peak,Thursday,Storm,26,83,3.9,2,0.96,0,7,Premium,1637.57
EV000526,Delhi,24.85,105.3,63,0.6804,90,6.71,5,Sedan,Early_Morning,Saturday,Rainy,36,48,3.8,1,0.96,0,1,Regular,183.84
EV000527,Delhi,12.37,40.3,75,1.0062000000000002,71,6.02,2,Premium,Evening_Peak,Sunday,Foggy,26,55,4.8,1,0.97,0,10,Premium,263.59
EV000528,Pune,49.83,129.7,34,2.7594,73,5.57,7,Premium,Night,Saturday,Storm,25,37,5,2.08,1.04,0,1,Premium,8900.18
EV000529,Bangalore,50.03,217.3,75,2.9770000000000003,82,6.89,3,Premium,Evening_Peak,Wednesday,Clear,30,33,4.4,1.5,0.91,0,5,Regular,4551.02
EV000530,Bangalore,7.43,23.1,89,2.79,85,8.2,8,Sedan,Early_Morning,Monday,Hot,27,55,4.1,2.17,0.96,0,4,Regular,581.4
EV000531,Pune,11.5,57.2,58,2.01,70,4.38,5,SUV,Early_Morning,Wednesday,Hot,31,85,3.7,2.17,0.95,0,8,Regular,452.04
EV000532,Chennai,34.32,109.1,60,5.278,73,5.79,9,Premium,Morning_Peak,Thursday,Storm,25,78,4,2,0.99,1,3,Premium,8550.69
EV000533,Bangalore,6.61,16.8,72,2,99,8.72,8,Sedan,Early_Morning,Wednesday,Hot,25,93,3.6,1,1.05,0,5,Regular,181.64
EV000534,Chennai,35.77,90.8,49,2.646,75,5.12,6,Premium,Night,Saturday,Clear,22,94,4.6,1.69,1.02,0,7,Regular,3078.35
EV000535,Pune,43.72,143.6,60,1.807,77,8.21,9,Compact,Evening_Peak,Wednesday,Hot,36,88,3.6,1,0.94,0,4,Premium,663.43
EV000536,Mumbai,32.46,128.2,60,1.3780000000000001,71,4.18,6,SUV,Evening_Peak,Friday,Foggy,29,58,4.6,1,1.09,0,1,Regular,902.26
EV000537,Delhi,29.37,89.8,75,1.0737999999999999,85,7.5,1,Compact,Evening_Peak,Tuesday,Rainy,16,88,3.9,1,1.05,0,5,Regular,344.74
EV000538,Mumbai,35.4,86.6,46,1.287,74,5,9,Sedan,Early_Morning,Sunday,Foggy,17,81,4.4,1,1,0,10,Premium,632.51
EV000539,Delhi,46.84,191.8,60,2.1111999999999997,75,5.7,7,Premium,Morning_Peak,Thursday,Storm,32,52,4.4,2,1.06,0,7,Premium,5979.48
EV000540,Bangalore,30.12,110.4,60,4.733820000000001,92,5.58,8,Compact,Evening_Peak,Saturday,Rainy,32,63,4.8,1.53,0.97,0,1,Regular,3431.36
EV000541,Chennai,6.06,20.1,60,2.0124000000000004,96,5.1,10,Sedan,Morning_Peak,Sunday,Clear,22,96,4.4,2.01,0.94,0,6,Premium,332.59
EV000542,Bangalore,37.13,183.6,72,0.9939999999999999,94,5.35,3,SUV,Early_Morning,Friday,Storm,26,79,3.6,2,1.03,1,6,Regular,1597.96
EV000543,Chennai,51.49,148.3,13,2.4318,82,5.87,4,Compact,Early_Morning,Saturday,Rainy,20,50,4.4,2.29,0.95,0,7,Regular,1835.33
EV000544,Bangalore,33.52,99.4,97,2.646,90,5.89,10,SUV,Early_Morning,Thursday,Rainy,35,53,4.3,2.46,0.99,1,10,Regular,5360.8
EV000545,Chennai,39.07,140.7,0,0.54,79,5.68,2,Sedan,Night,Friday,Clear,27,30,5,1,0.97,0,5,Premium,204.21
EV000546,Bangalore,30.82,135.3,70,3.6119999999999997,96,6.51,9,Sedan,Early_Morning,Monday,Storm,24,32,4,2.17,0.98,0,1,Regular,4554.61
EV000547,Bangalore,33.89,145,42,2.3814,99,7.01,4,Sedan,Early_Morning,Saturday,Storm,16,46,4.9,2.38,1,0,8,Premium,4024.32
EV000548,Chennai,23.37,103.1,68,0.61,96,6.53,7,Compact,Night,Wednesday,Hot,35,35,4.8,1,0.95,0,8,Premium,206.11
EV000549,Bangalore,28,91.2,60,1.079,72,5.76,10,Sedan,Morning_Peak,Thursday,Foggy,25,36,3.8,1,1.09,0,5,Regular,385.43
EV000550,Delhi,27.71,126.4,61,1.66,75,6.24,3,Compact,Night,Wednesday,Foggy,21,87,4.7,1,0.93,0,5,Premium,597.63
EV000551,Pune,21.69,85.7,58,0.558,100,5.63,1,Sedan,Early_Morning,Saturday,Foggy,17,59,4.4,1,1.07,1,2,Premium,186.08
EV000552,Chennai,15.48,75.6,96,2.6571999999999996,84,6.4,8,Premium,Evening_Peak,Friday,Storm,29,90,4.2,2,1.02,0,2,Regular,2145.77
EV000553,Delhi,32.04,75.8,60,1.4040000000000001,97,3.37,10,SUV,Evening_Peak,Thursday,Foggy,26,90,4.2,1,1.08,0,7,Regular,981.76
EV000554,Delhi,31.87,93.9,60,0.9659999999999999,87,6.42,1,Sedan,Early_Morning,Thursday,Rainy,30,63,4.8,1,0.91,0,4,Regular,353.81
EV000555,Mumbai,43.26,133.3,35,2.28,100,4.25,8,Premium,Day_Time,Wednesday,Clear,34,75,4.8,1.96,1.09,0,6,Regular,6716.59
EV000556,Chennai,44.38,96.6,99,0.45,84,8.27,7,Premium,Early_Morning,Sunday,Hot,22,31,4.5,1,1.04,1,4,Premium,494.13
EV000557,Mumbai,18.75,89.3,75,2.061,91,6.6,7,SUV,Night,Sunday,Hot,17,65,4.9,2.1,0.93,0,4,Regular,2391.71
EV000558,Chennai,12.69,61.6,60,1.612,82,6.83,8,Compact,Morning_Peak,Monday,Foggy,34,97,4.9,1,0.92,1,7,Premium,243.66
EV000559,Delhi,4.39,17.6,69,1.3719999999999999,99,4.37,7,SUV,Night,Thursday,Storm,23,92,3.9,2,0.98,0,10,Premium,345.29
EV000560,Chennai,34.03,153.6,82,2.24,82,5.17,3,SUV,Night,Friday,Foggy,37,52,4.7,2.23,0.98,0,5,Premium,3337.01
EV000561,Bangalore,47.29,209.5,17,4.088,72,4.91,3,SUV,Early_Morning,Monday,Storm,22,90,3.8,2,1.02,0,5,Premium,5491.25
EV000562,Pune,45.72,126.3,64,2.02,93,6.35,2,Sedan,Early_Morning,Tuesday,Foggy,26,97,4.6,1.71,0.99,0,10,Regular,1859.63
EV000563,Delhi,39.79,190.8,47,1.6099999999999999,98,5.09,1,SUV,Day_Time,Friday,Rainy,28,66,4.2,1,1.05,0,4,Premium,1328.82
EV000564,Pune,39.6,107,28,1.782,93,5.98,3,Sedan,Day_Time,Saturday,Clear,39,42,4.9,1,0.95,0,3,Premium,868.81
EV000565,Bangalore,7.27,20.7,85,1.22,94,6.6,10,Premium,Day_Time,Thursday,Hot,19,74,4.7,1,0.99,0,1,Regular,285.26
EV000566,Mumbai,12.88,34.5,77,1.21,98,7.04,5,Sedan,Day_Time,Thursday,Clear,25,48,4,1,0.93,0,10,Regular,258.64
EV000567,Chennai,24.73,103.7,60,5.186999999999999,93,4.49,5,SUV,Evening_Peak,Thursday,Rainy,23,60,4.5,1.56,0.95,0,2,Premium,3286.66
EV000568,Chennai,21.49,86.5,87,3.4762,70,6.49,10,Sedan,Morning_Peak,Thursday,Rainy,36,38,4.4,1.51,0.93,0,10,Regular,1176.43
EV000569,Chennai,47.11,195,60,3.4070400000000003,71,5.15,10,SUV,Evening_Peak,Saturday,Rainy,20,95,4.6,2.12,0.93,1,5,Regular,5110.33
EV000570,Delhi,2.58,12.3,35,2.35,96,4.49,6,Premium,Night,Friday,Clear,32,99,4.4,2.11,0.96,0,3,Premium,360.68
EV000571,Chennai,22.04,75.7,43,1.428,75,5.12,2,Sedan,Night,Thursday,Rainy,34,87,3.9,1,1.09,0,4,Premium,367.63
EV000572,Chennai,49.5,106.4,10,1.386,96,7.2,1,Compact,Day_Time,Wednesday,Rainy,39,86,4.3,1,1.09,0,1,Premium,654.81
EV000573,Mumbai,41.84,108,35,2.052,96,5.96,4,Sedan,Night,Sunday,Foggy,20,76,4.2,2.1,0.94,1,6,Premium,4113.99
EV000574,Mumbai,47.1,111.1,60,1.1440000000000001,87,5.83,2,Sedan,Evening_Peak,Wednesday,Clear,38,64,4.5,1,1.03,0,6,Premium,912.31
EV000575,Pune,8.04,26.7,4,1.14,82,4.42,1,SUV,Night,Friday,Foggy,18,77,4,1,0.91,0,7,Regular,98.67
EV000576,Bangalore,48.49,213.2,60,2.5740000000000003,78,4.85,10,Sedan,Morning_Peak,Saturday,Foggy,33,77,4.3,2.04,1.09,0,6,Regular,3852.59
EV000577,Bangalore,9.59,45.5,95,1.03,79,8.5,6,Compact,Early_Morning,Tuesday,Clear,15,74,3.6,1,1.02,0,5,Regular,92.86
EV000578,Mumbai,6.85,16.1,30,1.197,78,5.49,9,SUV,Early_Morning,Saturday,Hot,32,30,4.2,1,1,1,9,Premium,155.08
EV000579,Bangalore,36.57,115.5,70,2.015,91,5.25,4,Premium,Morning_Peak,Monday,Clear,17,81,4,1.75,0.96,1,8,Premium,3803.39
EV000580,Mumbai,19.68,55.1,83,1.74,90,8.78,8,Sedan,Day_Time,Monday,Hot,18,45,4.6,1,1.03,0,5,Premium,776.51
EV000581,Chennai,25.58,111,44,0.9799999999999999,81,5.5,3,Premium,Day_Time,Thursday,Rainy,23,36,4.1,1,1.03,0,7,Regular,406.75
EV000582,Pune,51.31,115.7,96,2.366,79,7.78,2,Sedan,Evening_Peak,Friday,Hot,17,46,4.5,2.33,0.98,0,3,Premium,3695.09
EV000583,Chennai,41.49,203.2,60,3.6945999999999994,99,6.95,2,Sedan,Evening_Peak,Friday,Storm,17,48,4.6,2,1.1,0,2,Regular,5261.14
EV000584,Bangalore,19.8,52.1,39,0.63,70,6.33,2,Sedan,Night,Thursday,Foggy,26,66,4.8,1,0.95,0,6,Regular,168.16
EV000585,Delhi,10.88,36,94,1.65,94,6.49,4,SUV,Day_Time,Monday,Hot,19,73,3.7,1,1,0,8,Premium,336.41
EV000586,Chennai,11.92,48.1,56,1.449,72,6.29,4,Sedan,Day_Time,Saturday,Hot,15,84,4,1,0.99,1,6,Regular,156.2
EV000587,Delhi,24.68,120.9,15,2.26,71,6.88,9,Compact,Day_Time,Friday,Foggy,24,79,3.9,1.54,0.93,0,10,Premium,648.16
EV000588,Delhi,29.97,106.6,60,2.3868,70,4.48,9,Premium,Evening_Peak,Sunday,Foggy,39,86,4.4,2.02,0.97,0,9,Premium,2920.24
EV000589,Mumbai,20.35,73,34,1.17,79,5.17,7,SUV,Day_Time,Friday,Hot,20,96,4,1,1.06,0,9,Regular,386.92
EV000590,Pune,46,153.5,48,2.259,70,5.3,10,Premium,Day_Time,Sunday,Foggy,28,71,4.7,1.52,1.01,0,3,Regular,2906.05
EV000591,Bangalore,26.05,118,35,1.93,81,6.75,6,Compact,Day_Time,Tuesday,Clear,27,89,4.7,1,1.05,0,5,Premium,636.4
EV000592,Chennai,13.69,66.8,86,2.25,93,6.64,8,Sedan,Early_Morning,Thursday,Hot,15,58,3.7,2.27,1.1,0,1,Premium,860.83
EV000593,Mumbai,48.81,185.6,33,0.8,70,4.51,7,SUV,Early_Morning,Monday,Clear,33,94,4.6,1,0.95,1,7,Regular,613.25
EV000594,Bangalore,7.54,37.2,60,2.8860000000000006,79,6.05,4,Compact,Evening_Peak,Tuesday,Clear,22,90,4.2,2.31,0.91,0,9,Premium,505.19
EV000595,Mumbai,5.65,25.9,86,0.52,82,7.3,5,Sedan,Night,Tuesday,Clear,28,34,3.5,1,1.08,0,10,Regular,49.86
EV000596,Chennai,13.78,28.7,2,2.22,81,5.89,8,Sedan,Early_Morning,Wednesday,Clear,19,65,4.5,2.26,1.07,0,3,Premium,584.52
EV000597,Mumbai,32.47,117.1,48,2.45,100,3.27,3,SUV,Night,Tuesday,Clear,25,74,4.3,2.17,0.99,0,5,Premium,4536.33
EV000598,Mumbai,6.97,29.5,60,1.8837000000000004,87,3.94,3,SUV,Morning_Peak,Sunday,Clear,23,93,3.5,1,1,0,6,Premium,218.7
EV000599,Chennai,11.72,45.2,61,2.81,99,4.24,2,SUV,Night,Thursday,Foggy,25,96,3.6,1.68,1.01,0,4,Regular,828.89
EV000600,Pune,31.29,69.1,62,2.98,96,6.52,2,Compact,Night,Wednesday,Clear,33,82,4.4,2.36,1.08,1,6,Regular,3361.38
EV000601,Mumbai,10.81,28.5,99,1.05,81,8.29,6,Compact,Night,Friday,Foggy,19,44,4.7,1,0.94,1,6,Premium,259.58
EV000602,Chennai,47.77,126.6,49,3.094,99,5.26,5,SUV,Night,Tuesday,Storm,21,44,4.6,2.11,1.07,0,9,Premium,8617.26
EV000603,Delhi,24.11,53.3,60,1.9656000000000002,73,7.38,10,Sedan,Evening_Peak,Saturday,Hot,15,57,4.4,1,0.91,0,10,Premium,596.89
